"","items","count","total","rnd","customer","age","city","paymentType"
"4853","sausage,rolls/buns,newspapers,shopping bags",4,1865,3,"Ahmed",30,"Giza","Credit"
"4854","sausage,soft cheese,bottled beer",3,2240,8,"Rania",37,"Dakahlia","Cash"
"4855","whole milk,rolls/buns,syrup",3,1641,9,"Maged",60,"Hurghada","Credit"
"4856","liver loaf,whole milk,yogurt,condensed milk,specialty cheese,white bread",6,1480,8,"Rania",37,"Dakahlia","Cash"
"4857","bottled water",1,1190,6,"Walaa",29,"Cairo","Credit"
"4858","beef",1,1002,14,"Magdy",36,"Sohag","Cash"
"4859","pet care,bottled beer",2,429,2,"Mohamed",25,"Alexandria","Cash"
"4860","meat,citrus fruit,pip fruit,root vegetables,bottled water",5,2126,5,"Shimaa",55,"Port Said","Credit"
"4861","cookware",1,2307,7,"Huda",39,"Gharbia","Credit"
"4862","bottled beer",1,216,2,"Mohamed",25,"Alexandria","Cash"
"4863","whole milk,processed cheese,spread cheese,rolls/buns",4,2230,14,"Magdy",36,"Sohag","Cash"
"4864","frozen meals,white bread,fruit/vegetable juice",3,907,8,"Rania",37,"Dakahlia","Credit"
"4865","dessert,yogurt,cat food,napkins",4,248,10,"Samy",55,"Alexandria","Cash"
"4866","grapes,other vegetables,soda,canned beer",4,1776,7,"Huda",39,"Gharbia","Credit"
"4867","rolls/buns,sugar,coffee,soda",4,1013,4,"Adel",50,"Alexandria","Credit"
"4868","sausage,meat,pip fruit,other vegetables,salty snack,napkins",6,1630,2,"Mohamed",25,"Alexandria","Cash"
"4869","sausage,beverages,rolls/buns",3,621,11,"Hanan",22,"Fayoum","Credit"
"4870","butter,napkins",2,375,9,"Maged",60,"Hurghada","Credit"
"4871","chicken,fruit/vegetable juice,long life bakery product",3,912,1,"Farida",22,"Cairo","Cash"
"4872","whole milk,bottled water,rum,waffles",4,965,8,"Rania",37,"Dakahlia","Credit"
"4873","rolls/buns",1,963,7,"Huda",39,"Gharbia","Cash"
"4874","rolls/buns,soda,snack products",3,2081,3,"Ahmed",30,"Giza","Cash"
"4875","citrus fruit,berries,yogurt,bottled water,soda,fruit/vegetable juice,chocolate,specialty bar,shopping bags",9,1861,9,"Maged",60,"Hurghada","Cash"
"4876","rolls/buns,pastry,coffee",3,593,6,"Walaa",29,"Cairo","Cash"
"4877","pasta,sauces",2,880,7,"Huda",39,"Gharbia","Cash"
"4878","sausage,pork,sliced cheese,frozen potato products,white bread,soda,waffles",7,529,9,"Maged",60,"Hurghada","Cash"
"4879","tropical fruit,pip fruit,grapes,packaged fruit/vegetables,coffee",5,1619,11,"Hanan",22,"Fayoum","Cash"
"4880","waffles,chocolate,specialty chocolate",3,486,5,"Shimaa",55,"Port Said","Credit"
"4881","citrus fruit,tropical fruit,baking powder,fruit/vegetable juice,waffles,specialty bar,candles,flower (seeds)",8,1242,7,"Huda",39,"Gharbia","Credit"
"4882","pasta,specialty chocolate,dishes",3,672,12,"Eman",23,"Aswan","Credit"
"4883","semi-finished bread,bottled beer,liquor",3,1619,2,"Mohamed",25,"Alexandria","Cash"
"4884","beef,spread cheese,domestic eggs,cat food,white wine,shopping bags",6,1856,8,"Rania",37,"Dakahlia","Credit"
"4885","whole milk",1,1922,6,"Walaa",29,"Cairo","Cash"
"4886","candy",1,1551,9,"Maged",60,"Hurghada","Cash"
"4887","bottled water",1,1641,2,"Mohamed",25,"Alexandria","Cash"
"4888","whole milk,white bread,pet care,bottled water,softener",5,767,2,"Mohamed",25,"Alexandria","Cash"
"4889","bottled beer",1,1041,11,"Hanan",22,"Fayoum","Cash"
"4890","yogurt,frozen dessert",2,397,3,"Ahmed",30,"Giza","Credit"
"4891","whole milk,coffee,cooking chocolate,newspapers",4,947,15,"Sameh",35,"Hurghada","Cash"
"4892","sausage,ham,soft cheese,hard cheese,coffee,soda,long life bakery product,chocolate",8,2466,13,"Sayed",37,"Cairo","Cash"
"4893","other vegetables,UHT-milk,semi-finished bread,margarine,canned vegetables,bottled water,cake bar,shopping bags",8,343,12,"Eman",23,"Aswan","Credit"
"4894","tropical fruit,yogurt,beverages",3,132,12,"Eman",23,"Aswan","Credit"
"4895","coffee,sparkling wine,dish cleaner",3,444,5,"Shimaa",55,"Port Said","Credit"
"4896","root vegetables,brown bread,mustard,cat food,canned beer",5,2319,9,"Maged",60,"Hurghada","Credit"
"4897","frankfurter,pork,other vegetables,whole milk,butter,brown bread,semi-finished bread,pet care,canned beer,waffles,hygiene articles,newspapers",12,200,8,"Rania",37,"Dakahlia","Credit"
"4898","ham,dessert,yogurt,processed cheese,soda",5,1872,1,"Farida",22,"Cairo","Cash"
"4899","pip fruit,whole milk,beverages,domestic eggs,white bread",5,964,10,"Samy",55,"Alexandria","Credit"
"4900","yogurt,sugar,shopping bags",3,1371,1,"Farida",22,"Cairo","Cash"
"4901","meat,whole milk,rolls/buns",3,1758,6,"Walaa",29,"Cairo","Credit"
"4902","soda,bathroom cleaner",2,1773,14,"Magdy",36,"Sohag","Credit"
"4903","pork,onions,domestic eggs,pastry,soda,shopping bags",6,218,7,"Huda",39,"Gharbia","Cash"
"4904","whole milk,frozen vegetables",2,998,2,"Mohamed",25,"Alexandria","Cash"
"4905","bottled beer",1,1227,3,"Ahmed",30,"Giza","Credit"
"4906","bottled water",1,1497,14,"Magdy",36,"Sohag","Credit"
"4907","specialty bar,house keeping products",2,2138,6,"Walaa",29,"Cairo","Cash"
"4908","berries,yogurt,whipped/sour cream",3,292,10,"Samy",55,"Alexandria","Cash"
"4909","dessert,soda",2,2220,7,"Huda",39,"Gharbia","Credit"
"4910","ham,onions,herbs,sparkling wine",4,717,6,"Walaa",29,"Cairo","Cash"
"4911","pork,tropical fruit,hard cheese,margarine,soda,bottled beer,napkins",7,1776,12,"Eman",23,"Aswan","Cash"
"4912","cat food,white wine",2,2032,2,"Mohamed",25,"Alexandria","Cash"
"4913","whole milk,brown bread,margarine,soda,bottled beer",5,2498,13,"Sayed",37,"Cairo","Cash"
"4914","margarine,fruit/vegetable juice,red/blush wine",3,1818,2,"Mohamed",25,"Alexandria","Cash"
"4915","whole milk",1,1781,15,"Sameh",35,"Hurghada","Cash"
"4916","whole milk,dessert,coffee,bottled water",4,1929,7,"Huda",39,"Gharbia","Cash"
"4917","other vegetables,rolls/buns,hair spray",3,1778,3,"Ahmed",30,"Giza","Credit"
"4918","domestic eggs",1,994,6,"Walaa",29,"Cairo","Cash"
"4919","canned beer",1,308,12,"Eman",23,"Aswan","Credit"
"4920","sausage,white wine,napkins",3,1422,12,"Eman",23,"Aswan","Cash"
"4921","butter milk,ice cream,coffee,bottled water,fruit/vegetable juice,hygiene articles,shopping bags",7,812,5,"Shimaa",55,"Port Said","Cash"
"4922","ham,root vegetables,whipped/sour cream,ketchup",4,1438,13,"Sayed",37,"Cairo","Credit"
"4923","whole milk",1,944,10,"Samy",55,"Alexandria","Credit"
"4924","other vegetables,butter milk,frozen meals,ice cream,pastry",5,1405,11,"Hanan",22,"Fayoum","Cash"
"4925","sausage,frozen vegetables,rolls/buns,soda,red/blush wine",5,2138,1,"Farida",22,"Cairo","Credit"
"4926","bottled beer",1,2289,6,"Walaa",29,"Cairo","Credit"
"4927","misc. beverages,napkins",2,375,11,"Hanan",22,"Fayoum","Cash"
"4928","brown bread",1,1368,1,"Farida",22,"Cairo","Credit"
"4929","whipped/sour cream,margarine,long life bakery product",3,1694,4,"Adel",50,"Alexandria","Cash"
"4930","tropical fruit,whipped/sour cream,jam",3,2012,8,"Rania",37,"Dakahlia","Credit"
"4931","citrus fruit,pip fruit",2,1738,1,"Farida",22,"Cairo","Cash"
"4932","pip fruit,soda,sparkling wine",3,1339,1,"Farida",22,"Cairo","Cash"
"4933","waffles,specialty bar",2,1266,2,"Mohamed",25,"Alexandria","Credit"
"4934","tropical fruit,other vegetables,whole milk,brown bread,margarine,sauces,sweet spreads,waffles",8,2489,9,"Maged",60,"Hurghada","Cash"
"4935","frankfurter,citrus fruit,pip fruit,butter milk,beverages,frozen meals,brown bread,pickled vegetables,shopping bags",9,240,4,"Adel",50,"Alexandria","Cash"
"4936","sausage,rolls/buns,sugar,bottled water,soda,fruit/vegetable juice,white wine,male cosmetics",8,1933,3,"Ahmed",30,"Giza","Cash"
"4937","frankfurter,sausage,curd,processed cheese,soda,canned beer",6,1558,7,"Huda",39,"Gharbia","Cash"
"4938","curd,coffee,bottled beer",3,1479,15,"Sameh",35,"Hurghada","Cash"
"4939","meat,citrus fruit,yogurt,brown bread,cat food,bottled water,chocolate,napkins",8,1850,11,"Hanan",22,"Fayoum","Credit"
"4940","other vegetables,whole milk,frozen potato products,white bread,pastry,soda,fruit/vegetable juice,specialty bar",8,949,6,"Walaa",29,"Cairo","Cash"
"4941","whole milk",1,2319,14,"Magdy",36,"Sohag","Cash"
"4942","domestic eggs",1,2173,1,"Farida",22,"Cairo","Cash"
"4943","pip fruit,whipped/sour cream",2,1889,11,"Hanan",22,"Fayoum","Cash"
"4944","other vegetables,whole milk,mustard,prosecco,specialty chocolate,female sanitary products",6,184,9,"Maged",60,"Hurghada","Cash"
"4945","sausage,other vegetables,dessert,yogurt,condensed milk,hard cheese,spread cheese,bottled water,fruit/vegetable juice,shopping bags",10,1986,7,"Huda",39,"Gharbia","Credit"
"4946","salty snack",1,748,12,"Eman",23,"Aswan","Credit"
"4947","margarine,candy",2,1100,4,"Adel",50,"Alexandria","Credit"
"4948","whole milk,rolls/buns,salt",3,1157,4,"Adel",50,"Alexandria","Credit"
"4949","frankfurter,sausage,other vegetables,white bread,pickled vegetables,waffles,shopping bags",7,1799,11,"Hanan",22,"Fayoum","Cash"
"4950","whole milk",1,293,8,"Rania",37,"Dakahlia","Credit"
"4951","whole milk,soft cheese,sliced cheese",3,2488,2,"Mohamed",25,"Alexandria","Cash"
"4952","brown bread,soda,canned beer,napkins,shopping bags",5,1632,14,"Magdy",36,"Sohag","Cash"
"4953","oil,soda,misc. beverages,canned beer,brandy,salty snack,candy,hygiene articles,shopping bags",9,612,5,"Shimaa",55,"Port Said","Cash"
"4954","liquor (appetizer)",1,1409,2,"Mohamed",25,"Alexandria","Credit"
"4955","rolls/buns,meat spreads",2,2109,10,"Samy",55,"Alexandria","Credit"
"4956","bottled water",1,946,9,"Maged",60,"Hurghada","Credit"
"4957","citrus fruit,pip fruit,root vegetables,whole milk,coffee,popcorn,chewing gum,detergent,newspapers,shopping bags",10,1976,10,"Samy",55,"Alexandria","Cash"
"4958","citrus fruit,root vegetables,margarine,cat food,shopping bags",5,633,13,"Sayed",37,"Cairo","Credit"
"4959","whole milk,dessert,butter milk,yogurt,pastry,margarine,bottled water,soda",8,666,15,"Sameh",35,"Hurghada","Credit"
"4960","frankfurter,beef,fish,root vegetables,whole milk,butter,yogurt,rolls/buns,roll products ",9,711,10,"Samy",55,"Alexandria","Credit"
"4961","soda",1,1929,2,"Mohamed",25,"Alexandria","Credit"
"4962","meat,other vegetables",2,611,5,"Shimaa",55,"Port Said","Cash"
"4963","sausage,beverages,sliced cheese,rolls/buns,soda,shopping bags",6,966,13,"Sayed",37,"Cairo","Cash"
"4964","sausage,meat,dessert,rolls/buns,instant coffee,soda,canned beer",7,933,6,"Walaa",29,"Cairo","Cash"
"4965","chocolate",1,1558,11,"Hanan",22,"Fayoum","Cash"
"4966","canned beer",1,383,4,"Adel",50,"Alexandria","Credit"
"4967","bottled beer,newspapers",2,2293,3,"Ahmed",30,"Giza","Credit"
"4968","liver loaf,root vegetables,other vegetables,processed cheese,pastry,sugar,detergent",7,1264,4,"Adel",50,"Alexandria","Cash"
"4969","pastry,long life bakery product",2,709,2,"Mohamed",25,"Alexandria","Cash"
"4970","beef,hamburger meat,other vegetables,rolls/buns,sugar,white wine,hygiene articles,newspapers",8,2490,12,"Eman",23,"Aswan","Cash"
"4971","canned beer,newspapers",2,1985,3,"Ahmed",30,"Giza","Credit"
"4972","newspapers",1,1733,3,"Ahmed",30,"Giza","Cash"
"4973","sausage,rolls/buns",2,1303,8,"Rania",37,"Dakahlia","Cash"
"4974","citrus fruit,pip fruit,root vegetables,UHT-milk,coffee,candles",6,583,4,"Adel",50,"Alexandria","Cash"
"4975","canned beer",1,2047,10,"Samy",55,"Alexandria","Cash"
"4977","rolls/buns,brown bread",2,2019,8,"Rania",37,"Dakahlia","Credit"
"4978","canned beer",1,1554,7,"Huda",39,"Gharbia","Credit"
"4979","frankfurter,whole milk,rolls/buns,newspapers",4,544,13,"Sayed",37,"Cairo","Cash"
"4980","frankfurter,sausage,meat,tropical fruit,brown bread,bottled water,nut snack",7,1095,6,"Walaa",29,"Cairo","Cash"
"4981","soda,bottled beer",2,1793,1,"Farida",22,"Cairo","Credit"
"4982","meat,chicken,root vegetables,onions,whole milk,soda",6,527,12,"Eman",23,"Aswan","Cash"
"4983","white wine",1,1581,1,"Farida",22,"Cairo","Credit"
"4984","sausage,other vegetables",2,1111,11,"Hanan",22,"Fayoum","Credit"
"4985","brown bread,pasta,oil,margarine,soda,newspapers",6,1800,12,"Eman",23,"Aswan","Credit"
"4986","frozen fruits,soda,specialty bar",3,1335,12,"Eman",23,"Aswan","Credit"
"4987","hard cheese,pasta,soda,waffles",4,507,2,"Mohamed",25,"Alexandria","Cash"
"4988","dessert,yogurt",2,426,8,"Rania",37,"Dakahlia","Credit"
"4989","coffee",1,632,2,"Mohamed",25,"Alexandria","Credit"
"4990","other vegetables,condensed milk,soda",3,1383,2,"Mohamed",25,"Alexandria","Credit"
"4991","frankfurter,sausage,whole milk,butter milk,yogurt,sliced cheese,hard cheese,rolls/buns,pastry,pickled vegetables,newspapers",11,1636,3,"Ahmed",30,"Giza","Credit"
"4992","pork,whole milk,pasta,fruit/vegetable juice",4,1827,4,"Adel",50,"Alexandria","Credit"
"4993","yogurt,rolls/buns",2,1551,13,"Sayed",37,"Cairo","Credit"
"4994","beef,citrus fruit,root vegetables,yogurt,whipped/sour cream,brown bread,napkins,newspapers",8,1953,14,"Magdy",36,"Sohag","Credit"
"4995","ham,sliced cheese",2,1508,5,"Shimaa",55,"Port Said","Credit"
"4996","frankfurter,tropical fruit,other vegetables,rolls/buns,bottled water,soda,fruit/vegetable juice,salty snack,waffles",9,1473,3,"Ahmed",30,"Giza","Credit"
"4997","hamburger meat,other vegetables,pickled vegetables",3,666,12,"Eman",23,"Aswan","Cash"
"4998","white wine",1,1156,8,"Rania",37,"Dakahlia","Credit"
"4999","packaged fruit/vegetables,pastry",2,1530,1,"Farida",22,"Cairo","Credit"
"5000","specialty bar",1,450,9,"Maged",60,"Hurghada","Credit"
"5001","cat food,misc. beverages,female sanitary products",3,371,11,"Hanan",22,"Fayoum","Credit"
"5003","pork,beef,pip fruit,root vegetables,whole milk,rice,newspapers",7,2056,2,"Mohamed",25,"Alexandria","Cash"
"5004","pork,tropical fruit,yogurt,frozen vegetables,rolls/buns,margarine,spices",7,1830,15,"Sameh",35,"Hurghada","Credit"
"5005","root vegetables,herbs,other vegetables",3,1345,2,"Mohamed",25,"Alexandria","Cash"
"5006","tropical fruit,rolls/buns,misc. beverages",3,144,14,"Magdy",36,"Sohag","Cash"
"5007","pork,whole milk,rolls/buns,detergent,hygiene articles,napkins",6,279,6,"Walaa",29,"Cairo","Cash"
"5008","bottled beer",1,1056,7,"Huda",39,"Gharbia","Credit"
"5009","whole milk,white bread",2,229,9,"Maged",60,"Hurghada","Cash"
"5010","butter milk",1,883,6,"Walaa",29,"Cairo","Cash"
"5011","sausage,meat,rolls/buns,brown bread,meat spreads,soda,canned beer,shopping bags",8,2074,1,"Farida",22,"Cairo","Cash"
"5012","whole milk,butter,sugar",3,942,6,"Walaa",29,"Cairo","Credit"
"5013","whole milk,bottled water,soda,chewing gum",4,251,15,"Sameh",35,"Hurghada","Cash"
"5014","misc. beverages",1,1309,12,"Eman",23,"Aswan","Credit"
"5015","waffles",1,460,6,"Walaa",29,"Cairo","Cash"
"5016","hamburger meat,whipped/sour cream,cream cheese ,rolls/buns,pasta,canned fish,popcorn",7,1998,11,"Hanan",22,"Fayoum","Credit"
"5017","white wine",1,696,1,"Farida",22,"Cairo","Credit"
"5018","canned beer",1,903,2,"Mohamed",25,"Alexandria","Cash"
"5019","frankfurter,chicken,hamburger meat,other vegetables,dessert,UHT-milk,oil,canned vegetables,cake bar",9,1640,4,"Adel",50,"Alexandria","Credit"
"5020","root vegetables,dog food,bottled water",3,805,8,"Rania",37,"Dakahlia","Cash"
"5021","ice cream,sparkling wine",2,1058,15,"Sameh",35,"Hurghada","Credit"
"5022","processed cheese,soda,bottled beer,liquor,red/blush wine,napkins",6,1771,10,"Samy",55,"Alexandria","Credit"
"5023","tropical fruit,seasonal products",2,1442,11,"Hanan",22,"Fayoum","Credit"
"5024","ham,citrus fruit,tropical fruit,pip fruit,processed cheese,white bread,shopping bags",7,1597,15,"Sameh",35,"Hurghada","Credit"
"5025","sausage,hamburger meat,pip fruit,root vegetables,whole milk,chocolate",6,2363,15,"Sameh",35,"Hurghada","Credit"
"5026","other vegetables",1,567,9,"Maged",60,"Hurghada","Cash"
"5027","coffee",1,1759,6,"Walaa",29,"Cairo","Credit"
"5028","pip fruit,other vegetables,butter milk,hard cheese,rolls/buns,seasonal products,napkins",7,1016,1,"Farida",22,"Cairo","Cash"
"5029","whole milk,butter,soda,chocolate",4,259,12,"Eman",23,"Aswan","Cash"
"5030","soda,waffles",2,176,2,"Mohamed",25,"Alexandria","Credit"
"5031","whole milk",1,2304,3,"Ahmed",30,"Giza","Credit"
"5032","beverages,photo/film",2,419,5,"Shimaa",55,"Port Said","Credit"
"5033","hygiene articles,photo/film",2,354,9,"Maged",60,"Hurghada","Credit"
"5034","pork,other vegetables,whole milk,rolls/buns,semi-finished bread,artif. sweetener,fruit/vegetable juice,cake bar,specialty bar,skin care",10,2290,3,"Ahmed",30,"Giza","Credit"
"5035","salty snack",1,1805,9,"Maged",60,"Hurghada","Cash"
"5036","pip fruit,canned beer,shopping bags",3,1771,2,"Mohamed",25,"Alexandria","Credit"
"5037","dessert,spread cheese,rolls/buns,brown bread,soda,canned beer,newspapers",7,2406,9,"Maged",60,"Hurghada","Credit"
"5038","white wine",1,2427,15,"Sameh",35,"Hurghada","Credit"
"5039","instant coffee,canned beer",2,1794,11,"Hanan",22,"Fayoum","Cash"
"5040","pastry,bottled water,specialty chocolate",3,2349,7,"Huda",39,"Gharbia","Cash"
"5041","canned beer",1,1270,4,"Adel",50,"Alexandria","Cash"
"5042","sausage,meat,bottled water",3,709,8,"Rania",37,"Dakahlia","Credit"
"5043","rolls/buns,pickled vegetables",2,669,3,"Ahmed",30,"Giza","Cash"
"5044","dog food,canned beer",2,696,10,"Samy",55,"Alexandria","Cash"
"5045","chicken,root vegetables,whole milk,rolls/buns,pasta,newspapers",6,2484,14,"Magdy",36,"Sohag","Credit"
"5046","soda",1,1740,2,"Mohamed",25,"Alexandria","Cash"
"5047","instant coffee,long life bakery product",2,1364,14,"Magdy",36,"Sohag","Cash"
"5048","whole milk,sugar,bottled water,bottled beer",4,583,4,"Adel",50,"Alexandria","Cash"
"5050","liver loaf,tropical fruit,other vegetables",3,1266,15,"Sameh",35,"Hurghada","Credit"
"5051","sausage,whole milk",2,905,10,"Samy",55,"Alexandria","Credit"
"5052","finished products,beef,pip fruit,root vegetables,bottled water,shopping bags",6,369,15,"Sameh",35,"Hurghada","Cash"
"5053","canned beer",1,318,3,"Ahmed",30,"Giza","Cash"
"5054","ham,processed cheese,rolls/buns,white bread,fruit/vegetable juice,canned beer,long life bakery product,waffles,chocolate,specialty bar",10,1413,14,"Magdy",36,"Sohag","Credit"
"5055","soda",1,1307,15,"Sameh",35,"Hurghada","Credit"
"5056","pastry,semi-finished bread,coffee,bottled water,misc. beverages",5,2267,2,"Mohamed",25,"Alexandria","Cash"
"5057","tropical fruit,pip fruit,grapes,semi-finished bread,bottled water,soda,chewing gum",7,793,2,"Mohamed",25,"Alexandria","Credit"
"5058","citrus fruit,tropical fruit,yogurt,UHT-milk,pastry",5,202,2,"Mohamed",25,"Alexandria","Credit"
"5059","pip fruit",1,2223,1,"Farida",22,"Cairo","Credit"
"5060","yogurt",1,864,1,"Farida",22,"Cairo","Cash"
"5061","root vegetables,whole milk,hard cheese,specialty cheese",4,1946,13,"Sayed",37,"Cairo","Cash"
"5062","waffles,specialty chocolate",2,1001,11,"Hanan",22,"Fayoum","Credit"
"5063","sausage,whole milk,yogurt,whipped/sour cream,pastry,fruit/vegetable juice,candy",7,2361,15,"Sameh",35,"Hurghada","Cash"
"5064","soda",1,2012,12,"Eman",23,"Aswan","Cash"
"5065","soda,specialty bar",2,1713,4,"Adel",50,"Alexandria","Cash"
"5066","whole milk",1,2404,8,"Rania",37,"Dakahlia","Cash"
"5067","sausage,tropical fruit,root vegetables,onions,other vegetables,whole milk,white bread,chewing gum",8,1944,13,"Sayed",37,"Cairo","Cash"
"5068","sausage,meat,yogurt",3,758,7,"Huda",39,"Gharbia","Cash"
"5069","whole milk,margarine,soda",3,1446,11,"Hanan",22,"Fayoum","Cash"
"5070","pork,citrus fruit,other vegetables,dessert,yogurt",5,2096,1,"Farida",22,"Cairo","Cash"
"5071","whole milk,domestic eggs,rolls/buns,fruit/vegetable juice",4,2463,14,"Magdy",36,"Sohag","Cash"
"5072","whole milk,brown bread",2,1592,4,"Adel",50,"Alexandria","Credit"
"5073","rolls/buns,pastry,mustard,soda,cake bar",5,626,2,"Mohamed",25,"Alexandria","Credit"
"5074","whole milk,bottled beer",2,421,11,"Hanan",22,"Fayoum","Credit"
"5075","whisky",1,2428,11,"Hanan",22,"Fayoum","Credit"
"5076","newspapers",1,206,4,"Adel",50,"Alexandria","Credit"
"5077","rubbing alcohol",1,687,7,"Huda",39,"Gharbia","Credit"
"5078","ham,tropical fruit,other vegetables,whole milk,yogurt,curd cheese,rolls/buns,flour,margarine,hygiene articles,shopping bags",11,1009,14,"Magdy",36,"Sohag","Credit"
"5079","sausage,butter,hard cheese,domestic eggs",4,1362,2,"Mohamed",25,"Alexandria","Cash"
"5080","bottled beer",1,914,14,"Magdy",36,"Sohag","Cash"
"5081","pork,tropical fruit,whole milk,domestic eggs",4,433,3,"Ahmed",30,"Giza","Credit"
"5082","specialty chocolate",1,938,10,"Samy",55,"Alexandria","Cash"
"5083","frankfurter,tropical fruit,root vegetables,whole milk,sugar,mustard,popcorn",7,687,1,"Farida",22,"Cairo","Cash"
"5084","nut snack",1,426,15,"Sameh",35,"Hurghada","Cash"
"5085","bottled beer",1,1693,9,"Maged",60,"Hurghada","Credit"
"5086","misc. beverages",1,2216,5,"Shimaa",55,"Port Said","Credit"
"5087","pork,soda,fruit/vegetable juice,bottled beer,liquor",5,905,9,"Maged",60,"Hurghada","Cash"
"5088","whole milk,frozen meals,bottled water",3,2337,4,"Adel",50,"Alexandria","Credit"
"5089","chocolate",1,593,1,"Farida",22,"Cairo","Credit"
"5090","root vegetables,herbs,other vegetables,cream cheese ,frozen vegetables,jam,canned fish,coffee",8,2311,3,"Ahmed",30,"Giza","Credit"
"5091","waffles",1,1437,15,"Sameh",35,"Hurghada","Cash"
"5092","citrus fruit,root vegetables,frozen vegetables,chewing gum",4,1235,3,"Ahmed",30,"Giza","Cash"
"5093","pork,root vegetables",2,724,1,"Farida",22,"Cairo","Cash"
"5094","dish cleaner,shopping bags",2,363,8,"Rania",37,"Dakahlia","Credit"
"5095","rolls/buns",1,224,1,"Farida",22,"Cairo","Cash"
"5096","rolls/buns,soda",2,1123,8,"Rania",37,"Dakahlia","Cash"
"5097","chicken,red/blush wine",2,1155,7,"Huda",39,"Gharbia","Credit"
"5098","pork,whole milk,shopping bags",3,402,2,"Mohamed",25,"Alexandria","Credit"
"5099","beverages,rolls/buns,soda,seasonal products",4,450,9,"Maged",60,"Hurghada","Credit"
"5100","soda",1,220,14,"Magdy",36,"Sohag","Credit"
"5101","sausage,whole milk",2,870,2,"Mohamed",25,"Alexandria","Credit"
"5102","frankfurter,meat,butter milk,tidbits,domestic eggs,brown bread,sugar,pickled vegetables",8,2073,13,"Sayed",37,"Cairo","Cash"
"5103","whole milk,newspapers",2,2152,12,"Eman",23,"Aswan","Cash"
"5104","bottled beer",1,2297,3,"Ahmed",30,"Giza","Cash"
"5105","chocolate",1,1583,3,"Ahmed",30,"Giza","Cash"
"5106","meat,curd,whipped/sour cream,roll products ",4,1365,1,"Farida",22,"Cairo","Credit"
"5108","pip fruit,soda,canned beer",3,1224,8,"Rania",37,"Dakahlia","Credit"
"5109","whole milk",1,562,2,"Mohamed",25,"Alexandria","Credit"
"5110","bottled beer,liquor",2,1878,2,"Mohamed",25,"Alexandria","Cash"
"5111","other vegetables,whipped/sour cream,rolls/buns,waffles,hygiene articles,newspapers",6,1565,8,"Rania",37,"Dakahlia","Cash"
"5112","soda,chewing gum",2,549,7,"Huda",39,"Gharbia","Cash"
"5113","UHT-milk",1,1918,15,"Sameh",35,"Hurghada","Cash"
"5114","pip fruit,whipped/sour cream,hard cheese,bottled water,fruit/vegetable juice",5,1379,3,"Ahmed",30,"Giza","Credit"
"5115","citrus fruit,other vegetables,whole milk,butter,oil,detergent",6,1236,15,"Sameh",35,"Hurghada","Cash"
"5116","meat,rolls/buns,white bread,semi-finished bread,flour,meat spreads",6,2319,12,"Eman",23,"Aswan","Cash"
"5117","chicken,candy",2,360,6,"Walaa",29,"Cairo","Credit"
"5118","zwieback,bottled beer,hygiene articles",3,1877,13,"Sayed",37,"Cairo","Cash"
"5119","other vegetables,rolls/buns",2,160,12,"Eman",23,"Aswan","Credit"
"5120","sausage,chocolate",2,110,4,"Adel",50,"Alexandria","Credit"
"5121","packaged fruit/vegetables",1,628,10,"Samy",55,"Alexandria","Cash"
"5122","yogurt",1,220,14,"Magdy",36,"Sohag","Credit"
"5123","pork,other vegetables,UHT-milk",3,1108,10,"Samy",55,"Alexandria","Credit"
"5124","ice cream,rolls/buns,chocolate",3,1017,14,"Magdy",36,"Sohag","Cash"
"5125","beef",1,169,10,"Samy",55,"Alexandria","Credit"
"5126","bottled beer",1,2091,6,"Walaa",29,"Cairo","Cash"
"5127","soda",1,828,11,"Hanan",22,"Fayoum","Cash"
"5129","fish,specialty chocolate",2,1057,9,"Maged",60,"Hurghada","Cash"
"5130","tropical fruit,whole milk,butter,syrup",4,1416,15,"Sameh",35,"Hurghada","Cash"
"5131","tropical fruit,whole milk,domestic eggs,rolls/buns,pet care,bottled water,hygiene articles",7,712,14,"Magdy",36,"Sohag","Credit"
"5132","frozen vegetables,frozen dessert,semi-finished bread,margarine,long life bakery product,candy,detergent",7,1718,2,"Mohamed",25,"Alexandria","Cash"
"5133","other vegetables,canned beer",2,275,6,"Walaa",29,"Cairo","Cash"
"5135","fish,frozen meals,domestic eggs,bottled beer,liquor (appetizer),dishes,newspapers",7,280,15,"Sameh",35,"Hurghada","Credit"
"5136","UHT-milk,canned fish",2,2242,13,"Sayed",37,"Cairo","Cash"
"5137","berries,oil,bottled water,cake bar,house keeping products,shopping bags",6,1634,15,"Sameh",35,"Hurghada","Cash"
"5138","condensed milk",1,605,3,"Ahmed",30,"Giza","Cash"
"5139","salt,margarine,canned beer",3,1830,15,"Sameh",35,"Hurghada","Credit"
"5140","canned beer,long life bakery product",2,906,4,"Adel",50,"Alexandria","Cash"
"5141","pip fruit,root vegetables,frozen vegetables,frozen potato products,pastry,fruit/vegetable juice,napkins,bags",8,1021,3,"Ahmed",30,"Giza","Credit"
"5142","sausage",1,1916,4,"Adel",50,"Alexandria","Cash"
"5143","sausage,frozen potato products",2,1213,4,"Adel",50,"Alexandria","Credit"
"5144","frozen meals,soda,specialty chocolate",3,2021,2,"Mohamed",25,"Alexandria","Cash"
"5145","berries,brown bread",2,2482,8,"Rania",37,"Dakahlia","Cash"
